"country","variable","Unit","Date","Value"
"Romania","Total international arrivals","","1/1/2005 12:00:00 AM",5839
"Romania","Total international arrivals","","1/1/2006 12:00:00 AM",6037
"Romania","Total international arrivals","","1/1/2007 12:00:00 AM",7719
"Romania","Total international arrivals","","1/1/2008 12:00:00 AM",8862
"Romania","Total international arrivals","","1/1/2009 12:00:00 AM",7575
"Romania","Total international arrivals","","1/1/2010 12:00:00 AM",7498
"Romania","Total international arrivals","","1/1/2011 12:00:00 AM",7611
"Romania","Total international arrivals","","1/1/2012 12:00:00 AM",7937
"Russian Federation","Total international arrivals","","1/1/2006 12:00:00 AM",22454
"Russian Federation","Total international arrivals","","1/1/2007 12:00:00 AM",22892
"Russian Federation","Total international arrivals","","1/1/2008 12:00:00 AM",23651
"Russian Federation","Total international arrivals","","1/1/2009 12:00:00 AM",21332
"Russian Federation","Total international arrivals","","1/1/2010 12:00:00 AM",22272
"Russian Federation","Total international arrivals","","1/1/2011 12:00:00 AM",24920
"Russian Federation","Total international arrivals","","1/1/2012 12:00:00 AM",28168
"South Africa","Total international arrivals","","1/1/2004 12:00:00 AM",6678
"South Africa","Total international arrivals","","1/1/2005 12:00:00 AM",7369
"South Africa","Total international arrivals","","1/1/2006 12:00:00 AM",8396
"South Africa","Total international arrivals","","1/1/2007 12:00:00 AM",9091
"South Africa","Total international arrivals","","1/1/2008 12:00:00 AM",9592
